Player,Pos'n,Age 7/1/23,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Fulmer, Michael",rhp,30.108,,MIN,CHN,1,"$4,000,000 ",2023,,,"$4,000,000",BBI Spts,Tom Ricketts,JHoyer / CHawkins,
"Longoria, Evan",3b,37.267,,SFN,ARI,1,"$4,000,000 ",2023,,,"$4,000,000",TWC Spts,Ken Kendrick,Mike Hazen,
"Chapman, Aroldis",lhp-c,35.123,,NYA,KCA,1,"$3,750,000 ",2023,,,"$3,750,000",Wasserman,John Sherman,J.J. Picollo,
"Castro, Miguel",rhp,28.189,,NYA,ARI,1,"$3,500,000 ",2023,club,,"$3,500,000",Ballengee,Ken Kendrick,Mike Hazen,
"Ureña, José",rhp-s,31.292,,COL,COL,1,"$3,500,000 ",2023,club,,"$3,500,000",Rep 1,Monfort brothers,Bill Schmidt,
"Casali, Curt",c,34.234,,SEA,CIN,1,"$3,250,000 ",2023,mutual,,"$3,250,000",Beverly Hills SC,Bob Castellini,Nick Krall,
"Velasquez, Vincent",rhp-s,31.024,,CHA,PIT,1,"$3,150,000 ",2023,,,"$3,150,000",CAA,Bob Nutting,Ben Cherington,
"Aguilar, Jesus",1b,33.001,,BAL,OAK,1,"$3,000,000 ",2023,,,"$3,000,000",MVP Spts,John Fisher,Mike Forst,
"Andrus, Elvis",ss,34.309,,CHA,CHA,1,"$3,000,000 ",2023,,,"$3,000,000",Boras Corp.,Jerry Reinsdorf,KWilliams/RHahn,
"Boxberger, Brad",rhp,35.035,,MIL,CHN,1,"$2,800,000 ",2023,mutual,,"$2,800,000",Paragon Spts,Tom Ricketts,JHoyer / CHawkins,
"Dickerson, Corey",dh-lf,34.040,,SLN,WAS,1,"$2,250,000 ",2023,,,"$2,250,000",Excel,Mark Lerner,Mike Rizzo,
"Grossman, Robbie",lf,33.288,,ATL,TEX,1,"$2,000,000 ",2023,,,"$2,000,000",Lagardere Spts,RDavis/BSimpson,Chris Young,
"Hand, Brad",lhp,33.103,,PHI,COL,1,"$2,000,000 ",2023,club,,"$2,000,000",Wasserman,Monfort brothers,Bill Schmidt,
"Harrison, Josh",2b,35.358,,CHA,PHI,1,"$2,000,000 ",2023,,,"$2,000,000",MSM Spts,John Middleton,DDombrowski / SFuld,
"Rodriguez, Joely",lhp,31.229,,NYN,BOS,1,"$2,000,000 ",2023,club,,"$2,000,000",LA Spts Mgt,John Henry,CBloom/BO'Halloran,
"Solano, Donovan",2b-3b,35.196,,CIN,MIN,1,"$2,000,000 ",2023,,,"$2,000,000",MDR Spts,Jim Pohlad,DFalvey /TLevine,
"Miller, Shelby",rhp-s,32.264,,SFN,LAN,1,"$1,500,000 ",2023,,,"$1,500,000",CAA,Mark Walter,AFriedman / BGomes,
"Smith, Will",lhp,33.356,,HOU,TEX,1,"$1,500,000 ",2023,,,"$1,500,000",CAA,RDavis/BSimpson,Chris Young,
"Nelson, Jimmy",rhp,34.026,,LAN,LAN,1,"$1,200,000 ",2023,,,"$1,200,000",CAA,Mark Walter,AFriedman / BGomes,
"Cruz, Nelson",dh-rf,43.000,,WAS,SDN,1,"$1,000,000 ",2023,,,"$1,000,000",Bryce Dixon,Peter Seidler,A.J. Preller,
"Ramirez, Erasmo",rhp,33.060,,WAS,WAS,1,"$1,000,000 ",2023,,,"$1,000,000",ISE,Mark Lerner,Mike Rizzo,
"Wilson, Justin",lhp,35.317,,CIN,MIL,1,"$1,000,000 ",2023,club,,"$1,000,000",ACES,Mark Attanasio,Matt Arnold,
"Adrianza, Ehire",ss,33.315,,ATL,ATL,0,$1 ,2023,,,,Munger English,Liberty Media,Alex Anthopoulos,$1M in majors
"Alberto, Hanser",2b,30.258,,LAN,CHA,0,$1 ,2023,,,,CAA,Jerry Reinsdorf,KWilliams/RHahn,
"Álvarez, Jose",lhp,34.056,,SFN,DET,0,$1 ,2023,,,,Beverly Hills SC,Chris Ilitch,Scott Harris,
"Anderson, Chase",rhp-s,35.213,,CIN,CIN,0,$1 ,2023,,,,Hub Spts,Bob Castellini,Nick Krall,
"Bradley, Jackie Jr.",cf,33.073,,TOR,KCA,0,$1 ,2023,,,,Boras Corp.,John Sherman,J.J. Picollo,
"Bundy, Dylan",rhp-s,30.228,,MIN,NYN,,$1 ,2023,,,,BBI Spts,Steve Cohen,Billy Eppler,
"Calhoun, Kole",rf,35.260,,TEX,SEA,0,$1 ,2023,,,,PSI Spts,John Stanton,J Dipoto / J Hollander,
"Chavez, Jesse",rhp,35.315,,ATL,ATL,0,$1 ,2023,,,,Apex,Liberty Media,Alex Anthopoulos,$1.2M in majors
"Colomé, Alex",rhp,34.182,,COL,WAS,0,$1 ,2023,,,,Wasserman,Mark Lerner,Mike Rizzo,
"Culberson, Charlie",inf,34.081,,TEX,TBA,0,$1 ,2023,,,,Ballengee,Stuart Sternberg,ENeander / PBendix,
"Devenski, Chris",rhp,32.231,,PHI,ANA,0,$1 ,2023,,,,MVP Spts,Arturo Moreno,Perry Minasian,
"Doolittle, Sean",lhp,36.278,,WAS,WAS,0,$1 ,2023,,,,Jason Cook,Mark Lerner,Mike Rizzo,
"Duffy, Danny",lhp,34.192,,LAN,TEX,0,$1 ,2023,,,,ACES,RDavis/BSimpson,Chris Young,
"Duffy, Matt",ss,32.168,,ANA,KCA,0,$1 ,2023,,,,TWC Spts,John Sherman,J.J. Picollo,
"Gamel, Ben",cf,31.045,,PIT,TBA,0,$1 ,2023,,,,Wasserman,Stuart Sternberg,ENeander / PBendix,
"Gurriel, Yulieski",1b,39.022,,HOU,MIA,0,$1 ,2023,,,,Magnus Spts,Bruce Sherman,Kim Ng,
"Hamilton, Billy",cf,32.296,,MIN,CHA,0,$1 ,2023,,,,Wasserman,Jerry Reinsdorf,KWilliams/RHahn,
"Hernández, César",2b,33.039,,WAS,DET,0,$1 ,2023,,,,Octagon,Chris Ilitch,Scott Harris,
"Hunter, Tommy",rhp,36.364,,NYN,NYN,0,$1 ,2023,,,,Moye Spts,Steve Cohen,Billy Eppler,
"Iglesias, José",ss,33.177,,COL,MIA,0,$1 ,2023,,,,MVP Spts,Bruce Sherman,Kim Ng,
"Jackson, Jay",rhp,35.248,,ATL,TOR,0,$1 ,2023,,,,Nello Gamberdino,Edward Rogers,MShapiro/RAtkins,
"Kennedy, Ian",rhp,37.194,,ARI,TEX,0,$1 ,2023,,,,Boras Corp.,RDavis/BSimpson,Chris Young,
"Kuhl, Chad",rhp-s,30.294,,COL,WAS,0,$1 ,2023,,,,ACES,Mark Lerner,Mike Rizzo,
"León, Sandy",c,34.111,,MIN,TEX,0,$1 ,2023,,,,MAS+,RDavis/BSimpson,Chris Young,
"Naquin, Tyler",rf,32.069,,NYN,MIL,0,$1 ,2023,,,,Excel,Mark Attanasio,Matt Arnold,
"Norris, Daniel",lhp,30.067,,DET,CIN,0,$1 ,2023,,,,Excel,Bob Castellini,Nick Krall,
"Odor, Rougned",ss,29.148,,BAL,SDN,0,$1 ,2023,,,,Beverly Hills,Peter Seidler,A.J. Preller,
"Pérez, Roberto",c,34.190,,PIT,SFN,0,$1 ,2023,,,,MDR Spts,Greg Johnson,F Zaidi / P Putila,$2.5M salary in majors
"Pillar, Kevin",cf,34.178,,LAN,ATL,0,$1 ,2023,,,,All Bases Covered,Liberty Media,Alex Anthopoulos,
"Pinder, Chad",2b-of,31.094,,OAK,CIN,0,$1 ,2023,,,,Icon Spts,Bob Castellini,Nick Krall,
"Plawecki, Kevin",c,32.125,,TEX,PIT,0,$1 ,2023,,,,ACES,Bob Nutting,Ben Cherington,
"Romine, Austin",c,34.221,,CIN,CIN,0,$1 ,2023,,,,Moye Spts,Bob Castellini,Nick Krall,
"Rosenthal, Trevor",rhp,33.033,,MIL,DET,0,$1 ,2023,,,,Boras Corp.,Mark Attanasio,Matt Arnold,
"Ross, Joe",rhp-s,30.041,,WAS,SFN,0,$1 ,2023,,,,Wasserman,Greg Johnson,F Zaidi / P Putila,
"Sanchez, Aaron",rhp-s,31.000,,MIN,MIN,0,$1 ,2023,,,,Boras Corp.,Jim Pohlad,DFalvey /TLevine,
"Stammen, Craig",rhp,39.114,,SDN,SDN,0,$1 ,2023,,,,Paragon Spts,Peter Seidler,A.J. Preller,$1.5M salary in majors
"Strickland, Hunter",rhp,34.281,,CIN,CIN,0,$1 ,2023,,,,Sports One,Bob Castellini,Nick Krall,
,,,,,,,,,,,,,,,
International,,,,,,,,,,,,,,,
"Arihara, Kohei",rhp,30.324,,TEX,NPB,,,2023,,,,Wasserman,,,signed by Fukuoka SoftBank Hawks of Japan
"Gonzalez, Marwin",rf-1b,34.109,,NYA,NPB,,,2023,,,,Boras Corp.,,,"signed by Orix Buffaloes of Japan, 1 y/$1.5M"
,,,,,,,,,,,,,,,
Retired,,,,,,,,,,,,,,,
"Castro, Jason",c,36.013,,HOU,retired,,,2023,,,,ISE,,,
"Cishek, Steve",rhp,37.013,,WAS,retired,,,2023,,,,Wasserman,,,
"Lindblom, Josh",rhp,36.016,,MIL,retired,,,2023,,,,GSI,,,
"O'Day, Darren",rhp,40.252,,ATL,retired,,,2023,,,,Ballengee Group,,,
"Oberg, Scott",rhp,33.110,,COL,retired,,,2023,,,,Big League Mgt,,,
"Phelps, David",rhp,36.265,,TOR,retired,,,2023,,,,Wasserman,,,
"Price, David",lhp-s,37.309,,LAN,,,,2023,,,,Bo McKinnis,,,
"Suzuki, Kurt",c,39.270,,ANA,retired,,,2023,,,,ALIGND,,,
